address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.982796,0,nypost,6,40,2024-03-25 05:38:09.982796
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.982850,0,nypost,6,40,2024-03-25 05:38:09.982850
192.168.1.54,192.0.66.32,51936,443,85,1,2024-03-25 05:38:09.983036,0,nypost,6,71,2024-03-25 05:38:09.983036
192.168.1.54,192.0.66.32,51936,443,78,1,2024-03-25 05:38:09.983230,0,nypost,6,64,2024-03-25 05:38:09.983230
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.984607,0,nypost,6,40,2024-03-25 05:38:09.984607
192.0.66.32,192.168.1.54,443,51936,60,1,2024-03-25 05:38:09.989975,0,nypost,6,40,2024-03-25 05:38:09.989975
192.0.66.32,192.168.1.54,443,51936,60,1,2024-03-25 05:38:09.989981,0,nypost,6,40,2024-03-25 05:38:09.989981
192.0.66.32,192.168.1.54,443,51936,60,1,2024-03-25 05:38:09.989982,0,nypost,6,40,2024-03-25 05:38:09.989982
192.168.1.54,192.0.66.32,51936,443,54,1,2024-03-25 05:38:09.990157,0,nypost,6,40,2024-03-25 05:38:09.990157
192.168.1.54,192.0.66.32,51937,443,78,1,2024-03-25 05:38:11.019410,0,nypost,6,64,2024-03-25 05:38:11.019410
192.0.66.32,192.168.1.54,443,51937,66,1,2024-03-25 05:38:11.030808,0,nypost,6,52,2024-03-25 05:38:11.030808
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.030959,0,nypost,6,40,2024-03-25 05:38:11.030959
192.168.1.54,192.0.66.32,51937,443,378,1,2024-03-25 05:38:11.031365,0,nypost,6,364,2024-03-25 05:38:11.031365
192.0.66.32,192.168.1.54,443,51937,60,1,2024-03-25 05:38:11.040212,0,nypost,6,40,2024-03-25 05:38:11.040212
192.0.66.32,192.168.1.54,443,51937,1514,1,2024-03-25 05:38:11.045023,0,nypost,6,1500,2024-03-25 05:38:11.045023
192.0.66.32,192.168.1.54,443,51937,1514,1,2024-03-25 05:38:11.045031,0,nypost,6,1500,2024-03-25 05:38:11.045031
192.0.66.32,192.168.1.54,443,51937,1230,1,2024-03-25 05:38:11.045035,0,nypost,6,1216,2024-03-25 05:38:11.045035
192.0.66.32,192.168.1.54,443,51937,86,1,2024-03-25 05:38:11.045039,0,nypost,6,72,2024-03-25 05:38:11.045039
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.045176,0,nypost,6,40,2024-03-25 05:38:11.045176
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.047055,0,nypost,6,40,2024-03-25 05:38:11.047055
192.168.1.54,192.0.66.32,51937,443,60,1,2024-03-25 05:38:11.047210,0,nypost,6,46,2024-03-25 05:38:11.047210
