ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,192.0.66.32,45586,443,,,571,1,2024-03-26 03:14:50.921699,0,nypost,6,557,2024-03-26 03:14:50.921699
192.0.66.32,172.28.0.12,443,45586,,,54,1,2024-03-26 03:14:50.936456,0,nypost,6,40,2024-03-26 03:14:50.936456
192.0.66.32,172.28.0.12,443,45586,,,2974,1,2024-03-26 03:14:50.937746,0,nypost,6,2960,2024-03-26 03:14:50.937746
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.937763,0,nypost,6,40,2024-03-26 03:14:50.937763
192.0.66.32,172.28.0.12,443,45586,,,1230,1,2024-03-26 03:14:50.937786,0,nypost,6,1216,2024-03-26 03:14:50.937786
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.937793,0,nypost,6,40,2024-03-26 03:14:50.937793
192.0.66.32,172.28.0.12,443,45586,,,103,1,2024-03-26 03:14:50.937787,0,nypost,6,89,2024-03-26 03:14:50.937787
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.937798,0,nypost,6,40,2024-03-26 03:14:50.937798
172.28.0.12,192.0.66.32,45586,443,,,134,1,2024-03-26 03:14:50.940044,0,nypost,6,120,2024-03-26 03:14:50.940044
172.28.0.12,192.0.66.32,45586,443,,,100,1,2024-03-26 03:14:50.940161,0,nypost,6,86,2024-03-26 03:14:50.940161
172.28.0.12,192.0.66.32,45586,443,,,103,1,2024-03-26 03:14:50.940178,0,nypost,6,89,2024-03-26 03:14:50.940178
172.28.0.12,192.0.66.32,45586,443,,,89,1,2024-03-26 03:14:50.940190,0,nypost,6,75,2024-03-26 03:14:50.940190
172.28.0.12,192.0.66.32,45586,443,,,116,1,2024-03-26 03:14:50.940219,0,nypost,6,102,2024-03-26 03:14:50.940219
192.0.66.32,172.28.0.12,443,45586,,,341,1,2024-03-26 03:14:50.954911,0,nypost,6,327,2024-03-26 03:14:50.954911
192.0.66.32,172.28.0.12,443,45586,,,341,1,2024-03-26 03:14:50.954944,0,nypost,6,327,2024-03-26 03:14:50.954944
192.0.66.32,172.28.0.12,443,45586,,,54,1,2024-03-26 03:14:50.954975,0,nypost,6,40,2024-03-26 03:14:50.954975
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.955063,0,nypost,6,40,2024-03-26 03:14:50.955063
192.0.66.32,172.28.0.12,443,45586,,,125,1,2024-03-26 03:14:50.955156,0,nypost,6,111,2024-03-26 03:14:50.955156
172.28.0.12,192.0.66.32,45586,443,,,85,1,2024-03-26 03:14:50.955196,0,nypost,6,71,2024-03-26 03:14:50.955196
192.0.66.32,172.28.0.12,443,45586,,,541,1,2024-03-26 03:14:50.955294,0,nypost,6,527,2024-03-26 03:14:50.955294
172.28.0.12,192.0.66.32,45586,443,,,78,1,2024-03-26 03:14:50.955435,0,nypost,6,64,2024-03-26 03:14:50.955435
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.956170,0,nypost,6,40,2024-03-26 03:14:50.956170
192.0.66.32,172.28.0.12,443,45586,,,54,1,2024-03-26 03:14:50.970103,0,nypost,6,40,2024-03-26 03:14:50.970103
192.0.66.32,172.28.0.12,443,45586,,,54,1,2024-03-26 03:14:50.970159,0,nypost,6,40,2024-03-26 03:14:50.970159
172.28.0.12,192.0.66.32,45586,443,,,54,1,2024-03-26 03:14:50.970165,0,nypost,6,40,2024-03-26 03:14:50.970165
192.0.66.32,172.28.0.12,443,45586,,,54,1,2024-03-26 03:14:50.970810,0,nypost,6,40,2024-03-26 03:14:50.970810
